first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
24/05/2020,30/05/2020,30-34,Not Binary,0,0,0
24/05/2020,30/05/2020,30-34,Women,1490,0,0
24/05/2020,30/05/2020,35-39,Men,858,0,0
24/05/2020,30/05/2020,35-39,Not Binary,0,0,0
24/05/2020,30/05/2020,35-39,Women,1457,0,0
24/05/2020,30/05/2020,40-44,Men,717,0,0
24/05/2020,30/05/2020,40-44,Not Binary,0,0,0
24/05/2020,30/05/2020,40-44,Women,1240,0,0
24/05/2020,30/05/2020,45-49,Men,532,0,0
24/05/2020,30/05/2020,45-49,Not Binary,0,0,0
24/05/2020,30/05/2020,45-49,Women,749,0,0
24/05/2020,30/05/2020,50-54,Men,453,0,0
24/05/2020,30/05/2020,50-54,Not Binary,0,0,0
24/05/2020,30/05/2020,50-54,Women,675,0,0
24/05/2020,30/05/2020,55-59,Men,402,0,0
24/05/2020,30/05/2020,55-59,Not Binary,0,0,0
24/05/2020,30/05/2020,55-59,Women,663,0,0
24/05/2020,30/05/2020,60-64,Men,396,0,0
24/05/2020,30/05/2020,60-64,Women,607,0,0
24/05/2020,30/05/2020,65-69,Men,395,0,0
24/05/2020,30/05/2020,65-69,Women,643,0,0
24/05/2020,30/05/2020,70-74,Men,537,0,0
24/05/2020,30/05/2020,70-74,Women,844,0,0
24/05/2020,30/05/2020,75-79,Men,405,0,0
24/05/2020,30/05/2020,75-79,Women,696,0,0
24/05/2020,30/05/2020,80+,Men,1503,0,0
24/05/2020,30/05/2020,80+,Not Binary,0,0,0
24/05/2020,30/05/2020,80+,Women,3414,0,0
24/05/2020,30/05/2020,NULL,Men,336,0,0
24/05/2020,30/05/2020,NULL,Not Binary,60,0,0
24/05/2020,30/05/2020,NULL,Women,350,0,0
31/05/2020,06/06/2020,0-19,Men,12994,113,0
31/05/2020,06/06/2020,0-19,Not Binary,181,0,0
31/05/2020,06/06/2020,0-19,Women,13580,126,0
31/05/2020,06/06/2020,20-24,Men,1537,23,0
31/05/2020,06/06/2020,20-24,Not Binary,0,0,0
31/05/2020,06/06/2020,20-24,Women,2304,25,0
31/05/2020,06/06/2020,25-29,Men,1832,25,0
31/05/2020,06/06/2020,25-29,Not Binary,32,0,0
31/05/2020,06/06/2020,25-29,Women,3115,27,0
31/05/2020,06/06/2020,30-34,Men,2295,37,0
31/05/2020,06/06/2020,30-34,Not Binary,68,0,0
31/05/2020,06/06/2020,30-34,Women,3484,38,0
31/05/2020,06/06/2020,35-39,Men,2127,25,0
31/05/2020,06/06/2020,35-39,Not Binary,50,0,0
31/05/2020,06/06/2020,35-39,Women,3455,28,0
31/05/2020,06/06/2020,40-44,Men,1972,31,0
31/05/2020,06/06/2020,40-44,Not Binary,46,0,0
31/05/2020,06/06/2020,40-44,Women,3277,27,0
31/05/2020,06/06/2020,45-49,Men,1610,16,0
31/05/2020,06/06/2020,45-49,Not Binary,35,0,0
31/05/2020,06/06/2020,45-49,Women,2569,20,0
31/05/2020,06/06/2020,50-54,Men,1298,22,0
31/05/2020,06/06/2020,50-54,Not Binary,28,0,0
31/05/2020,06/06/2020,50-54,Women,2046,19,0
