Date,age group,Severe cases vaccinated,Severe cases expired Vaccination  ,Severe cases Not vaccinated,Severe cases vaccinated per 100k,Severe cases expired Vaccination  per 100k,Severe cases Not vaccinated per 100k,New Severe cases vaccinated,New severe cases expired Vaccination,New severe cases Not vaccinated,New severe cases vaccinated per 100k,New severe cases expired Vaccination  per 100k,New severe cases Not vaccinated per 100k
30-08-2021,60+,134,122,242,10.9,93.4,161.1,20,14,32,1.6,10.7,21.3
30-08-2021,All population,164,158,407,3.7,16.4,12.1,26,18,61,0.6,1.9,1.8
30-08-2021,0-59,30,36,165,1,4.3,5.1,6,4,29,0.2,0.5,0.9
31-08-2021,All population,153,154,384,3.5,16.4,11.5,17,25,46,0.4,2.7,1.4
31-08-2021,0-59,30,31,159,0.9,3.8,5,4,4,19,0.1,0.5,0.6
31-08-2021,60+,123,123,225,9.9,96.9,150.4,13,21,27,1.1,16.5,18
01-09-2021,0-59,34,25,155,1.1,3.1,4.9,5,3,20,0.2,0.4,0.6
01-09-2021,60+,117,114,229,9.4,91.5,153.7,13,14,38,1,11.2,25.5
01-09-2021,All population,151,139,384,3.4,15.1,11.5,18,17,58,0.4,1.8,1.7
02-09-2021,All population,142,138,378,3.2,15.6,11.4,18,21,40,0.4,2.4,1.2
02-09-2021,0-59,29,27,151,0.9,3.5,4.7,1,4,17,0,0.5,0.5
02-09-2021,60+,113,111,227,9,90.8,153,17,17,23,1.4,13.9,15.5
03-09-2021,60+,107,106,220,8.5,86.8,148.5,11,13,26,0.9,10.6,17.6
03-09-2021,All population,135,133,379,3,15,11.4,13,18,46,0.3,2,1.4
03-09-2021,0-59,28,27,159,0.9,3.5,5,2,5,20,0.1,0.7,0.6
04-09-2021,All population,141,130,379,3.2,14.4,11.4,18,14,40,0.4,1.6,1.2
04-09-2021,0-59,32,27,162,1,3.5,5.1,6,2,16,0.2,0.3,0.5
04-09-2021,60+,109,103,217,8.7,84,146.7,12,12,24,1,9.8,16.2
05-09-2021,60+,109,97,233,8.7,80.8,158.2,13,6,33,1,5,22.4
05-09-2021,0-59,34,25,170,1.1,3.3,5.4,4,2,21,0.1,0.3,0.7
05-09-2021,All population,143,122,403,3.2,14,12.2,17,8,54,0.4,0.9,1.6
06-09-2021,All population,130,110,389,2.9,12.7,11.7,10,8,32,0.2,0.9,1
06-09-2021,60+,96,87,224,7.6,72.8,152.4,6,6,20,0.5,5,13.6
06-09-2021,0-59,34,23,165,1,3.1,5.2,4,2,12,0.1,0.3,0.4
07-09-2021,60+,97,78,223,7.6,64.6,151.9,15,6,31,1.2,5,21.1
07-09-2021,0-59,36,26,164,1.1,3.4,5.2,3,4,22,0.1,0.5,0.7
07-09-2021,All population,133,104,387,2.9,11.6,11.7,18,10,53,0.4,1.1,1.6
08-09-2021,0-59,38,25,181,1.1,3.1,5.7,4,1,22,0.1,0.1,0.7
08-09-2021,60+,92,79,227,7.2,64.7,154.9,8,8,22,0.6,6.6,15
08-09-2021,All population,130,104,408,2.8,11.2,12.3,12,9,44,0.3,1,1.3
09-09-2021,All population,125,101,428,2.7,11.1,13,12,6,52,0.3,0.7,1.6
09-09-2021,0-59,34,25,192,1,3.2,6.1,1,1,26,0,0.1,0.8
09-09-2021,60+,91,76,236,7.1,63.3,161.6,11,5,26,0.9,4.2,17.8
10-09-2021,0-59,31,24,190,0.9,3,6,4,4,21,0.1,0.5,0.7
10-09-2021,All population,125,99,429,2.7,10.7,13,21,17,46,0.4,1.8,1.4
10-09-2021,60+,94,75,239,7.4,62.2,164.1,17,13,25,1.3,10.8,17.2
11-09-2021,60+,85,71,243,6.7,58.1,167.1,7,8,30,0.5,6.5,20.6
11-09-2021,All population,116,96,445,2.5,10,13.5,9,11,52,0.2,1.1,1.6
11-09-2021,0-59,31,25,202,0.9,3,6.4,2,3,22,0.1,0.4,0.7
12-09-2021,0-59,35,29,207,1,3.5,6.6,4,8,25,0.1,1,0.8
12-09-2021,60+,85,71,250,6.6,59.2,172.5,13,6,28,1,5,19.3
12-09-2021,All population,120,100,458,2.6,10.6,13.9,17,14,54,0.4,1.5,1.6
13-09-2021,0-59,34,31,198,1,3.8,6.3,3,6,26,0.1,0.7,0.8
13-09-2021,60+,84,68,238,6.6,57.8,164.8,8,7,25,0.6,5.9,17.3
